Frame,Ear Value,Abnormal Blink,PERCLOS,Alarm Level
0,0.364,0,0.00,0
1,0.346,0,0.00,0
2,0.334,0,0.00,0
3,0.312,0,0.00,0
4,0.355,0,0.00,0
5,0.335,0,0.00,0
6,0.383,0,0.00,0
7,0.401,0,0.00,0
8,0.335,0,0.00,0
9,0.333,0,0.00,0
10,0.334,0,0.00,0
11,0.325,0,0.00,0
12,0.333,0,0.00,0
13,0.363,0,0.00,0
14,0.363,0,0.00,0
15,0.340,0,0.00,0
16,0.326,0,0.00,0
17,0.341,0,0.00,0
18,0.325,0,0.00,0
19,0.321,0,0.00,0
20,0.356,0,0.00,0
21,0.261,0,0.00,0
22,0.297,0,0.00,0
23,0.344,0,0.00,0
24,0.359,0,0.00,0
25,0.352,0,0.00,0
26,0.365,0,0.00,0
27,0.355,0,0.00,0
28,0.336,0,0.00,0
29,0.312,0,0.00,0
30,0.296,0,0.00,0
31,0.311,0,0.00,0
32,0.326,0,0.00,0
33,0.326,0,0.00,0
34,0.371,0,0.00,0
35,0.332,0,0.00,0
36,0.352,0,0.00,0
37,0.363,0,0.00,0
38,0.351,0,0.00,0
39,0.371,0,0.00,0
40,0.366,0,0.00,0
41,0.336,0,0.00,0
42,0.385,0,0.00,0
43,0.408,0,0.00,0
44,0.357,0,0.00,0
45,0.363,0,0.00,0
46,0.362,0,0.00,0
47,0.386,0,0.00,0
48,0.374,0,0.00,0
49,0.398,0,0.00,0
50,0.363,0,0.00,0
51,0.363,0,0.00,0
52,0.335,0,0.00,0
53,0.218,0,0.00,0
54,0.218,0,0.00,0
55,0.271,0,0.00,0
56,0.355,0,0.00,0
57,0.380,0,0.00,0
58,0.376,0,0.00,0
59,0.389,0,0.00,0
60,0.411,0,0.00,0
61,0.385,0,0.00,0
62,0.351,0,0.00,0
63,0.414,0,0.00,0
64,0.416,0,0.00,0
65,0.390,0,0.00,0
66,0.349,0,0.00,0
67,0.349,0,0.00,0
68,0.349,0,0.00,0
69,0.389,0,0.00,0
70,0.389,0,0.00,0
71,0.389,0,0.00,0
72,0.389,0,0.00,0
73,0.389,0,0.00,0
74,0.389,0,0.00,0
75,0.328,0,0.00,0
76,0.328,0,0.00,0
77,0.328,0,0.00,0
78,0.328,0,0.00,0
79,0.328,0,0.00,0
80,0.328,0,0.00,0
81,0.328,0,0.00,0
82,0.328,0,0.00,0
83,0.328,0,0.00,0
84,0.328,0,0.00,0
85,0.328,0,0.00,0
86,0.328,0,0.00,0
87,0.328,0,0.00,0
88,0.328,0,0.00,0
89,0.328,0,0.00,0
90,0.328,0,0.00,0
91,0.328,0,0.00,0
92,0.328,0,0.00,0
93,0.328,0,0.00,0
94,0.328,0,0.00,0
95,0.328,0,0.00,0
96,0.328,0,0.00,0
97,0.328,0,0.00,0
98,0.328,0,0.00,0
99,0.328,0,0.00,0
100,0.328,0,0.00,0
101,0.328,0,0.00,0
102,0.328,0,0.00,0
103,0.328,0,0.00,3
104,0.328,0,0.00,3
105,0.328,0,0.00,3
106,0.328,0,0.00,3
107,0.328,0,0.00,3
108,0.328,0,0.00,3
109,0.328,0,0.00,3
110,0.328,0,0.00,3
111,0.328,0,0.00,3
112,0.328,0,0.00,3
113,0.328,0,0.00,3
114,0.328,0,0.00,3
115,0.328,0,0.00,3
116,0.328,0,0.00,3
117,0.328,0,0.00,3
118,0.328,0,0.00,3
119,0.328,0,0.00,3
120,0.328,0,0.00,3
121,0.328,0,0.00,3
122,0.328,0,0.00,3
123,0.328,0,0.00,3
124,0.328,0,0.00,3
125,0.328,0,0.00,3
